LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
-37.78349,145.25601,1982,3,22,4.9,16.32,27.75
-37.78349,145.25601,1982,3,23,14.22,11.09,18.34
-37.78349,145.25601,1982,3,24,0.66,10.61,19.37
-37.78349,145.25601,1982,3,25,0.76,12.65,25.11
-37.78349,145.25601,1982,3,26,0.49,14.82,25.95
-37.78349,145.25601,1982,3,27,1.17,13.06,24.5
-37.78349,145.25601,1982,3,28,7.46,10.56,17.82
-37.78349,145.25601,1982,3,29,6.55,11.89,17.66
-37.78349,145.25601,1982,3,30,0.21,10.98,21.19
-37.78349,145.25601,1982,3,31,0.01,9.07,22.91
-37.78349,145.25601,1982,4,1,0.11,10.92,25.84
-37.78349,145.25601,1982,4,2,1.51,10.26,20.93
-37.78349,145.25601,1982,4,3,0.46,9.04,16.3
-37.78349,145.25601,1982,4,4,0.01,7.89,19.09
-37.78349,145.25601,1982,4,5,0.06,6.21,20.06
-37.78349,145.25601,1982,4,6,0.01,9.18,20.93
-37.78349,145.25601,1982,4,7,0.2,10.68,20.14
-37.78349,145.25601,1982,4,8,0.26,10.18,21.49
-37.78349,145.25601,1982,4,9,0,9.69,23.25
